Sp	Line	Ind	NectarVolume	SugarConcentation	TotalSugAmt	NectarySize
CL5	284	648	1.32	332.2431706	437.2423731	0.123361614
CL5	285	1262	1.4825	276.8768213	470.223382	0.068062446
CL5	285	721	0.532083333	266.3228441	154.2762662	0.068093604
CL5	286	1079	0.967916667	356.8527924	334.9601818	0.095838375
CL5	286	516	0.745416667	296.3297869	220.5027194	0.071963463
CL5	287	106	1.964583333	295.2549211	580.4544415	0.092261746
CL5	287	163	2.920208333	311.7427813	910.9126791	0.138230876
CL5	288	135	2.17	316.5101618	693.9383785	0.099932991
CL5	288	571	2.291041667	343.4651432	792.2427833	0.117767679
CL5	290	1234	1.745	300.2090264	533.0624699	0.146098445
CL5	290	941	1.657708333	290.1553642	501.9409031	0.120917932
CL5	291	1117	2.010208333	355.8123477	709.093413	0.139498433
CL5	292	44	2.0725	358.1435581	751.5282916	0.133944393
CL5	292	938	1.651041667	362.1192188	596.3589972	0.099300432
CL5	293	336	1.365416667	309.8336487	425.5392903	0.122386146
CL5	293	946	2.3325	312.8374619	731.159474	0.082359814
CL5	294	386	1.10875	318.9221558	360.2643477	0.065066564
CL5	294	63	1.904583333	323.2243475	622.3333731	0.140527284
CL5	295	5	1.203958333	308.2469625	377.3327868	0.088983167
CL5	295	670	2.44875	322.6507531	783.0326168	0.148252479
CL5	297	1209	0.801875	310.4209735	250.2675307	0.037473922
CL5	297	291	1.436875	308.299774	443.7817244	0.050667186
CL5	299	434	0.952916667	274.9007466	275.8165472	0.0744539
CL5	299	572	1.211875	233.7171534	289.3154497	0.090223863
CL5	300	455	1.430625	299.4512935	432.0360121	0.100734186
CL5	300	915	1.596875	275.6505317	453.7804917	0.084746565
CL5	301	486	0.898333333	332.1807508	301.9940231	0.138671385
CL5	301	529	1.465625	317.6025217	475.3366809	0.128434239
CL5	303	445	1.18375	258.5837273	359.4685554	0.086195019
CL5	303	589	1.36625	307.6820259	436.7336325	0.142694168
CL5	306	1307	2.048958333	320.257692	655.4134874	0.092234268
CL5	306	817	0.989375	262.1876532	257.7125258	0.059290729
CL5	327	1299	2.879166667	334.9387996	965.1532819	0.116630372
CL5	327	247	1.190416667	268.4901219	323.4243268	0.074608484
CL5	328	1198	1.52375	267.3724143	413.6225059	0.094111092
CL5	328	892	1.509166667	209.1061762	312.3222171	0.087337717
CL5	329	1368	1.962916667	341.0315353	704.2747654	0.107286266
CL5	329	555	1.513541667	317.9377915	486.8991951	0.082160653
CL5	330	497	1.681458333	308.0205232	520.5801075	0.102483301
CL5	330	843	1.712916667	269.1233457	487.4641048	0.083055962
CL5	331	576	2.278125	360.8065971	825.2110641	0.131084431
CL5	331	695	1.738125	323.6098458	552.957335	0.082554398
CL5	332	1237	1.528125	282.5390624	438.7355629	0.085680933
CL5	332	723	1.514791667	288.8254695	432.2072563	0.113196555
